content_replicate,TimeToThreshold,RAF,MPR,MS
206Gx01_8,0.0,0.0,1.269480519,18.75
212G_1,0.0,0.0,2.086538462,3.25
212Gx01_1,0.0,0.0,1.144128114,56.5
217G_1,0.0,0.0,1.555921053,12.75
217Gx01_1,0.0,0.0,1.387795276,28.0
212G_2,0.0,0.0,1.916666667,3.25
212Gx01_2,36.0,0.027777778,3.279291553,340.0
217G_2,0.0,0.0,1.414168937,27.25
217Gx01_2,0.0,0.0,3.133699634,290.5
212G_3,0.0,0.0,1.842696629,2.0
212Gx01_3,0.0,0.0,1.162921348,52.75
217G_3,41.25,0.024242424,7.26566416,615.25
217Gx01_3,35.25,0.028368794,5.015177066,457.5
212G_4,0.0,0.0,1.832061069,4.5
212Gx01_4,0.0,0.0,1.154848046,43.0
217G_4,0.0,0.0,1.38071066,33.25
217Gx01_4,0.0,0.0,1.382943144,23.5
212G_5,0.0,0.0,1.80754717,4.5
212Gx01_5,29.25,0.034188034,4.563897764,403.25
217G_5,32.25,0.031007752,7.832962138,757.5
217Gx01_5,35.25,0.028368794,4.213483146,417.75
212G_6,0.0,0.0,1.765957447,2.25
212Gx01_6,0.0,0.0,1.18957346,33.0
217G_6,0.0,0.0,1.372596154,30.25
217Gx01_6,0.0,0.0,1.327302632,27.75
212G_7,0.0,0.0,1.723247232,4.25
212Gx01_7,42.75,0.023391813,3.427701674,359.0
217G_7,0.0,0.0,1.422932331,47.75
217Gx01_7,0.0,0.0,1.324590164,28.75
212G_8,0.0,0.0,1.592307692,2.5
212Gx01_8,35.25,0.028368794,3.886503067,392.25
217G_8,35.25,0.028368794,7.809178744,689.75
217Gx01_8,0.0,0.0,1.217054264,32.25
267G_1,0.0,0.0,1.258160237,3.0
267Gx01_1,0.0,0.0,1.326576577,6.0
267G_2,0.0,0.0,1.35,3.25
267Gx01_2,40.5,0.024691358,11.39035088,1167.75
267G_3,0.0,0.0,1.216710183,4.0
267Gx01_3,30.75,0.032520325,5.037815126,475.75
267G_4,0.0,0.0,1.779661017,71.75
267Gx01_4,0.0,0.0,1.275390625,23.5
267G_5,0.0,0.0,1.278735632,3.75
267Gx01_5,25.5,0.039215686,5.363636364,549.75
267G_6,0.0,0.0,1.279891304,15.5
267Gx01_6,41.25,0.024242424,3.437262357,322.75
267G_7,0.0,0.0,1.304597701,10.25
267Gx01_7,29.25,0.034188034,4.666026871,406.75
267G_8,0.0,0.0,1.236842105,3.75
267Gx01_8,0.0,0.0,1.157894737,17.25
379G_1,0.0,0.0,1.453362256,18.0
379Gx01_1,0.0,0.0,1.483471074,18.75
379G_2,0.0,0.0,1.479166667,37.0
379Gx01_2,0.0,0.0,1.664015905,23.0
379G_3,31.5,0.031746032,8.072164948,830.25
379Gx01_3,0.0,0.0,1.669131238,19.0
379G_4,0.0,0.0,1.479253112,18.5
379Gx01_4,0.0,0.0,1.521352313,21.75
379G_5,20.25,0.049382716,9.149193548,950.75
379Gx01_5,0.0,0.0,1.519408503,20.25
379G_6,32.25,0.031007752,7.392712551,737.75
379Gx01_6,0.0,0.0,1.49168207,21.75
379G_7,0.0,0.0,1.445175439,26.5
379Gx01_7,0.0,0.0,1.407599309,20.5
379G_8,0.0,0.0,1.380952381,15.25
379Gx01_8,0.0,0.0,1.356630824,24.5
319G_1,0.0,0.0,2.832386364,4.5
319Gx01_1,24.75,0.04040404,12.65289256,1287.5
319G_2,0.0,0.0,2.242524917,4.25
319Gx01_2,35.25,0.028368794,6.647651007,748.75
319G_3,45.75,0.021857923,45.86206897,3228.25
319Gx01_3,0.0,0.0,1.47029703,33.0
319G_4,0.0,0.0,2.150877193,5.0
319Gx01_4,0.0,0.0,1.458471761,29.5
319G_5,0.0,0.0,2.083032491,3.0
319Gx01_5,0.0,0.0,1.40063593,29.5
319G_6,34.5,0.028985507,56.55471698,3643.25
319Gx01_6,39.0,0.025641026,4.781931464,535.0
319G_7,44.25,0.02259887,36.08333333,2198.0
319Gx01_7,0.0,0.0,1.337423313,31.75
319G_8,31.5,0.031746032,45.77272727,2892.5
319Gx01_8,0.0,0.0,1.295839753,34.0
368G_1,0.0,0.0,1.519832985,48.5
368Gx01_1,39.75,0.025157233,6.058052434,646.75
368G_2,0.0,0.0,1.688984881,46.0
368Gx01_2,0.0,0.0,2.08985025,32.5
368G_3,0.0,0.0,1.726315789,38.25
368Gx01_3,36.0,0.027777778,4.964586847,475.25
368G_4,0.0,0.0,1.686192469,42.25
368Gx01_4,0.0,0.0,2.015151515,38.5
368G_5,0.0,0.0,1.581052632,41.75
368Gx01_5,0.0,0.0,2.050083472,35.5
368G_6,0.0,0.0,1.618025751,38.0
368Gx01_6,39.0,0.025641026,4.520458265,479.5
368G_7,42.75,0.023391813,6.173819742,604.25
368Gx01_7,45.75,0.021857923,3.954765751,446.0
368G_8,0.0,0.0,1.558704453,38.25
368Gx01_8,0.0,0.0,1.606687898,47.75
321G_1,0.0,0.0,2.634218289,17.75
321Gx01_1,0.0,0.0,1.6271777,6.5
325G_1,0.0,0.0,2.015873016,2.5
325Gx01_1,0.0,0.0,1.470238095,12.0
321G_2,0.0,0.0,2.276595745,10.75
321Gx01_2,30.75,0.032520325,5.018229167,391.0
325G_2,0.0,0.0,1.698275862,2.0
325Gx01_2,0.0,0.0,1.535809019,16.0
321G_3,0.0,0.0,1.779166667,5.0
321Gx01_3,0.0,0.0,1.425373134,26.5
325G_3,0.0,0.0,1.728110599,2.25
325Gx01_3,48.0,0.020833333,3.454314721,252.25
321G_4,0.0,0.0,1.702811245,8.0
321Gx01_4,0.0,0.0,1.41,19.75
325G_4,0.0,0.0,1.648648649,2.75
325Gx01_4,0.0,0.0,1.43236715,22.25
321G_5,0.0,0.0,1.632286996,3.75
321Gx01_5,0.0,0.0,1.423684211,20.75
325G_5,0.0,0.0,1.889867841,3.75
325Gx01_5,36.75,0.027210884,4.233409611,335.0
321G_6,0.0,0.0,1.616113744,4.75
321Gx01_6,30.0,0.033333333,4.336515513,358.75
325G_6,0.0,0.0,1.65,3.0
325Gx01_6,22.5,0.044444444,5.817767654,494.5
321G_7,0.0,0.0,1.569506726,2.75
321Gx01_7,47.25,0.021164021,4.742647059,389.75
325G_7,0.0,0.0,1.68018018,3.0
325Gx01_7,31.5,0.031746032,5.082159624,380.75
321G_8,0.0,0.0,1.641509434,2.5
321Gx01_8,31.5,0.031746032,9.178217822,571.75
325G_8,0.0,0.0,1.572093023,3.25
325Gx01_8,0.0,0.0,1.222222222,20.25
