content_replicate,TimeToThreshold,RAF,MPR,MS
14P.-2_3,0,0,1.023781213,4.166666667
14P.-3_3,0,0,1.021582734,3.833333333
blank_4-20221110_M2,0,0,1.018359853,2.166666667
neg_4-20221110_M2,0,0,1.018203883,2.333333333
pos_4-20221110_M2,12.75,0.078431373,8.231414868,1004.5
10P.-1_4,0,0,1.010625738,3.166666667
10P.-2_4,0,0,1.024096386,3
10P.-3_4,0,0,1.023696682,2
12P.-1_4,0,0,1.027090695,3.333333333
12P.-2_4,0,0,1.02237927,2.333333333
12P.-3_4,0,0,1.015531661,3.833333333
14P.-1_4,0,0,1.010989011,1.666666667
14P.-2_4,0,0,1.026284349,3.5
14P.-3_4,0,0,1.015568862,2.5
blank_5-20221110_M2,0,0,1.046987952,6.666666667
neg_5-20221110_M2,0,0,1.037082818,2.5
pos_5-20221110_M2,22.5,0.044444444,6.786432161,756.1666667
16P.-1_1,0,0,1.017688679,3.5
16P.-2_1,0,0,1.010663507,1.666666667
16P.-3_1,0,0,1.021151586,3
17P.-1_1,0,0,1.041866029,4.5
17P.-2_1,0,0,1.025423729,3.833333333
17P.-3_1,0,0,1.036613272,6.666666667
18P.-1_1,0,0,1.001190476,2.5
18P.-2_1,0,0,1.015757576,3.5
18P.-3_1,0,0,1.015494636,2.833333333
blank_6-20221110_M2,0,0,1.016029593,2
neg_6-20221110_M2,0,0,1.020935961,2.5
pos_6-20221110_M2,24,0.041666667,9.815403423,1133
blank_7-20221110_M2,0,0,1.017985612,2.333333333
neg_7-20221110_M2,0,0,1.030267753,5.5
pos_7-20221110_M2,0,0,1.025027203,9.5
16P.-1_2,0,0,1.027681661,6.333333333
16P.-2_2,0,0,1.010477299,4.333333333
16P.-3_2,0,0,1.034319527,4.333333333
17P.-1_2,0,0,1.02184466,3.166666667
17P.-2_2,0,0,1.029976019,2.666666667
17P.-3_2,0,0,1.050480769,4.666666667
18P.-1_2,0,0,1.038860104,3.166666667
18P.-2_2,0,0,1.043256997,5.166666667
18P.-3_2,0,0,1.070544554,3.833333333
blank_8-20221110_M2,0,0,1.050827423,2.833333333
neg_8-20221110_M2,0,0,1.067375887,3
pos_8-20221110_M2,0,0,1.028186275,3
16P.-1_3,0,0,1.03708134,2.666666667
16P.-2_3,0,0,1.082825822,2.166666667
16P.-3_3,0,0,1.032846715,2.666666667
17P.-1_3,0,0,1.028678304,2.5
17P.-2_3,0,0,1.032540676,2.166666667
17P.-3_3,0,0,1.025412961,3.5
18P.-1_3,0,0,1.008526188,1.5
18P.-2_3,0,0,1.018450185,1.666666667
18P.-3_3,24,0.041666667,9.513447433,1053.166667
blank_1-20221110_M2,0,0,1.070588235,4.166666667
neg_1-20221110_M2,0,0,1.050251256,2.666666667
pos_1-20221110_M2,9.75,0.102564103,14.42997543,863.8333333
20P.-1_1,0,0,1.030952381,3
20P.-2_1,0,0,1.114678899,5.666666667
20P.-3_1,12.75,0.078431373,11.79432624,710.6666667
21P.-1_1,23.25,0.043010753,22.16919192,1352
21P.-2_1,25.5,0.039215686,14.51157407,944.1666667
21P.-3_1,0,0,1.046511628,2.5
22P.-1_1,15,0.066666667,16.3163017,1034
22P.-2_1,31.5,0.031746032,22.08391608,1450.166667
22P.-3_1,0,0,1.105140187,3.5
blank_2-20221110_M2,27.75,0.036036036,1.060998152,12.66666667
neg_2-20221110_M2,0,0,1.025316456,2.666666667
pos_2-20221110_M2,14.25,0.070175439,24.31025641,1496.833333
20P.-1_2,0,0,1.094660194,6
20P.-2_2,0,0,1.075829384,4.833333333
20P.-3_2,18.75,0.053333333,11.19856459,661.8333333
21P.-1_2,22.5,0.044444444,12.57721519,712.5
21P.-2_2,18,0.055555556,14.02857143,884.8333333
21P.-3_2,25.5,0.039215686,16.21728972,1080.833333
22P.-1_2,18,0.055555556,13.92230576,750
