Sample,x01,x02,x03,final,NumberOfReplicates
194KB,MS,-,NA,0,4
195KB,-,-,NA,0,4
199KB,-,-,NA,0,4
200KB,-,-,NA,0,4
201KB,-,MS,NA,0,4
205KB,MS,MS,NA,0,4
206KB,-,-,NA,0,4
207KB,-,-,NA,0,4
211KB,-,-,NA,0,4
212KB,-,-,NA,0,4
213KB,-,-,NA,0,4
241KB,-,-,NA,0,4
242KB,-,-,NA,0,4
243KB,-,-,NA,0,4
247KB,-,-,NA,0,4
248KB,MS,-,NA,0,4
249KB,-,-,NA,0,4
253KB,-,-,NA,0,4
254KB,-,-,NA,0,4
255KB,-,MS,NA,0,4
259KB,MS,MS,NA,0,4
260KB,-,-,NA,0,4
261KB,-,-,NA,0,4
49KB,-,MS,NA,0,4
50KB,-,MS,NA,0,4
51KB,MS,MS,NA,0,4
55KB,MS,MS,NA,0,4
56KB,MS,MS,NA,0,4
57KB,-,-,NA,0,4
61KB,-,-,NA,0,4
62KB,-,MS,NA,0,4
63KB,MS,MS,NA,0,4
79KB,RAF;MS,MS,NA,0,4
80KB,-,-,NA,0,4
81KB,-,-,NA,0,4
85KB,-,-,NA,0,4
86KB,-,-,NA,0,4
87KB,-,-,NA,0,4
91KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
92KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
93KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
301KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
302KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
303KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
307KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
308KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
309KB,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
121KB,MS,-,NA,0,4
122KB,-,-,NA,0,4
123KB,-,-,NA,0,4
127KB,-,-,NA,0,4
128KB,-,-,NA,0,4
129KB,MS,-,NA,0,4
133KB,-,MS,NA,0,4
134KB,MS,MS,NA,0,4
135KB,MS,MS,NA,0,4
139KB,MS,-,NA,0,4
140KB,MS,MS,NA,0,4
141KB,-,-,NA,0,4
169KB,MPR,-,NA,0,4
170KB,MPR;MS,-,NA,0,4
171KB,MPR;MS,MS,NA,0,4
175KB,MPR;MS,MPR;MS,NA,0,4
187KB,RAF;MPR;MS,-,NA,1,4
188KB,-,-,NA,0,4
189KB,-,-,NA,0,4
217KB,-,-,NA,0,4
218KB,-,MS,NA,0,4
219KB,-,-,NA,0,4
223KB,MS,-,NA,0,4
224KB,MS,MPR,NA,0,4
225KB,MPR,MS,NA,0,4
229KB,MPR,MPR,NA,0,4
176KB,-,-,NA,0,4
177KB,-,-,NA,0,4
181KB,-,-,NA,0,4
182KB,-,-,NA,0,4
183KB,-,-,NA,0,4
273KB,-,-,NA,0,4
277KB,-,-,NA,0,4
278KB,-,-,NA,0,4
279KB,-,-,NA,0,4
283KB,MPR,-,NA,0,4
230KB,-,-,NA,0,4
231KB,-,-,NA,0,4
235KB,-,-,NA,0,4
236KB,-,-,NA,0,4
237KB,MPR,-,NA,0,4
286KB,MPR,-,NA,0,4
287KB,MPR,MPR,NA,0,4
268KB,-,-,NA,0,4
269KB,-,-,NA,0,4
270KB,-,-,NA,0,4
274KB,-,-,NA,0,4
275KB,-,-,NA,0,4
20GC,MPR,-,NA,0,4
21GC,-,-,NA,0,4
25GC,-,-,NA,0,4
26GC,MPR,-,NA,0,4
27GC,-,MS,NA,0,4
31GC,MPR,-,NA,0,4
32GC,MPR,-,NA,0,4
33GC,MPR,MS,NA,0,4
37GC,-,-,NA,0,4
38GC,MPR,MPR;MS,NA,0,4
39GC,-,-,NA,0,4
43GC,-,-,NA,0,4
44GC,-,-,NA,0,4
45GC,-,-,NA,0,4
49GC,-,-,NA,0,4
50GC,-,-,NA,0,4
51GC,-,RAF;MPR;MS,NA,1,4
55GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
56GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
57GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
1GC,-,-,NA,0,4
2GC,-,-,NA,0,4
3GC,-,-,NA,0,4
7GC,-,-,NA,0,4
8GC,-,-,NA,0,4
9GC,-,-,NA,0,4
13GC,-,-,NA,0,4
14GC,-,-,NA,0,4
15GC,-,-,NA,0,4
19GC,MPR,-,NA,0,4
80GC,RAF;MPR;MS,RAF,NA,1,4
81GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
85GC,-,-,NA,0,4
86GC,-,-,NA,0,4
87GC,-,-,NA,0,4
91GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
92GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
93GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
94GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
95GC,RAF;MPR;MS,RAF;MPR;MS,NA,1,4
